,Unnamed: 0,Rank,Movie,Studio,Total Gross,All Theaters,Opening Total,Opening Theaters,Open Date,Close Date,Year
2156,88,93,Brown Sugar,FoxS,27363891.00,1378,"$10,738,882 ",1372,11-Oct,30-Jan,2002
2157,89,94,Blood Work,WB,26235081.00,2525,"$7,312,413 ",2525,9-Aug,24-Oct,2002
2158,90,95,All About the Benjamins,NL,25916319.00,1519,"$10,007,291 ",1505,8-Mar,23-May,2002
2159,91,96,Frida,Mira.,25885000.00,794,"$205,996 ",5,25-Oct,26-May,2002
2160,92,97,Jonah: A VeggieTales Movie,Art.,25581229.00,1625,"$6,201,345 ",940,4-Oct,30-Jan,2002
2161,93,98,Beauty and the Beast (IMAX),BV,25487190.00,68,"$2,589,334 ",68,1-Jan,7-Nov,2002
2162,0,5,Bruce Almighty,Uni.,242829261.00,3549,"$67,953,330 ",3483,23-May,11-Dec,2003
2163,1,6,X2: X-Men United,Fox,214949694.00,3749,"$85,558,731 ",3741,2-May,25-Sep,2003
2164,2,7,Elf,NL,173398518.00,3381,"$31,113,501 ",3337,7-Nov,4-Mar,2003
2165,3,8,Terminator 3: Rise of the Machines,WB,150371112.00,3504,"$44,041,440 ",3504,2-Jul,30-Oct,2003
2166,4,9,The Matrix Revolutions,WB,139313948.00,3502,"$48,475,154 ",3502,5-Nov,4-Mar,2003
2167,5,10,Cheaper by the Dozen,Fox,138614544.00,3307,"$27,557,647 ",3298,25-Dec,6-Jun,2003
2168,6,11,Bad Boys II,Sony,138608444.00,3202,"$46,522,560 ",3186,18-Jul,20-Nov,2003
2169,7,12,Anger Management,SonR,135645823.00,3656,"$42,220,847 ",3551,11-Apr,28-Aug,2003
2170,8,13,Bringing Down the House,BV,132716677.00,2910,"$31,101,026 ",2801,7-Mar,28-Aug,2003
2171,9,14,Hulk,Uni.,132177234.00,3674,"$62,128,420 ",3660,20-Jun,16-Oct,2003
2172,10,15,2 Fast 2 Furious,Uni.,127154901.00,3418,"$50,472,480 ",3408,6-Jun,23-Oct,2003
2173,11,16,Something's Gotta Give,Sony,124728738.00,2876,"$16,064,723 ",2677,12-Dec,29-Apr,2003
2174,12,17,Seabiscuit,Uni.,120277854.00,2573,"$20,854,735 ",1989,25-Jul,5-Feb,2003
2175,13,18,S.W.A.T.,Sony,116934650.00,3220,"$37,062,535 ",3202,8-Aug,11-Dec,2003
2176,14,19,Spy Kids 3D: Game Over,Dim.,111761982.00,3388,"$33,417,739 ",3344,25-Jul,5-Feb,2003
2177,15,20,The Last Samurai,WB,111127263.00,2938,"$24,271,354 ",2908,5-Dec,8-Apr,2003
2178,16,21,Freaky Friday,BV,110230332.00,3067,"$22,203,007 ",2954,6-Aug,15-Jan,2003
2179,17,22,Scary Movie 3,Dim.,110003217.00,3505,"$48,113,770 ",3505,24-Oct,19-Feb,2003
2180,18,23,The Italian Job,Par.,106128601.00,2877,"$19,457,944 ",2633,30-May,6-Nov,2003
2181,19,24,How to Lose a Guy in 10 Days,Par.,105813373.00,2923,"$23,774,850 ",2923,7-Feb,24-Jul,2003
2182,20,25,American Wedding,Uni.,104565114.00,3175,"$33,369,440 ",3172,1-Aug,20-Nov,2003
2183,21,26,Daddy Day Care,SonR,104297061.00,3472,"$27,623,580 ",3370,9-May,19-Oct,2003
2184,22,27,Daredevil,Fox,102543518.00,3474,"$40,310,419 ",3471,14-Feb,17-Jul,2003
2185,23,28,The Cat in the Hat,Uni.,101149285.00,3467,"$38,329,160 ",3464,21-Nov,18-Mar,2003
2186,24,29,Charlie's Angels: Full Throttle,Sony,100830111.00,3485,"$37,634,221 ",3459,27-Jun,2-Oct,2003
2187,25,30,Cold Mountain,Mira.,95636509.00,2802,"$14,574,213 ",2163,25-Dec,1-Jul,2003
2188,26,31,Master and Commander: The Far Side of the World,Fox,93927920.00,3101,"$25,105,990 ",3101,14-Nov,13-May,2003
2189,27,32,"Legally Blonde 2: Red, White and Blonde",MGM,90186328.00,3375,"$22,220,670 ",3350,2-Jul,2-Oct,2003
2190,28,33,Mystic River,WB,90135191.00,1581,"$640,815 ",13,8-Oct,23-May,2003
2191,29,34,Brother Bear,BV,85336277.00,3030,"$291,940 ",2,24-Oct,8-Apr,2003
2192,30,35,Freddy Vs. Jason,NL,82622655.00,3014,"$36,428,066 ",3014,15-Aug,20-Nov,2003
2193,31,36,School of Rock,Par.,81261177.00,2951,"$19,622,714 ",2614,3-Oct,4-Mar,2003
2194,32,37,The Texas Chainsaw Massacre,NL,80571655.00,3018,"$28,094,014 ",3016,17-Oct,16-Feb,2003
2195,33,38,The Haunted Mansion,BV,75847266.00,3122,"$24,278,410 ",3122,26-Nov,15-Apr,2003
2196,34,39,Old School,DW,75585093.00,2742,"$17,453,216 ",2689,21-Feb,19-Jun,2003
2197,35,40,Kill Bill Vol. 1,Mira.,70099045.00,3102,"$22,089,322 ",3102,10-Oct,27-May,2003
2198,36,41,Holes,BV,67406573.00,2452,"$16,300,155 ",2331,18-Apr,21-Aug,2003
2199,37,42,Kangaroo Jack,WB,66934963.00,2848,"$16,580,209 ",2818,17-Jan,10-Jul,2003
2200,38,43,Big Fish,Sony,66809693.00,2514,"$207,377 ",6,10-Dec,20-May,2003
2201,39,44,The League of Extraordinary Gentlemen,Fox,66465204.00,3002,"$23,075,892 ",3002,11-Jul,13-Nov,2003
2202,40,45,Lara Croft Tomb Raider: The Cradle of Life,Par.,65660196.00,3222,"$21,783,641 ",3222,25-Jul,13-Nov,2003
