Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name,Disney_Fox,Disney_Sony,Disney_Universal,Disney_Warner
Cowboy Pictures,8168024,Cowboy Pictures,0,Cowboy Pictures,Cowboy Pictures,Cowboy Pictures,Cowboy Pictures,Cowboy Pictures
Adlabs Films,8006778,Adlabs Films,0,Adlabs Films,Adlabs Films,Adlabs Films,Adlabs Films,Adlabs Films
Palm Pictures,7836089,Palm Pictures,0,Palm Pictures,Palm Pictures,Palm Pictures,Palm Pictures,Palm Pictures
Blue Sky Cinema,7659321,Blue Sky Cinema,0,Blue Sky Cinema,Blue Sky Cinema,Blue Sky Cinema,Blue Sky Cinema,Blue Sky Cinema
Drafthouse Films,7385926,Drafthouse Films,0,Drafthouse Films,Drafthouse Films,Drafthouse Films,Drafthouse Films,Drafthouse Films
Good Deed Entertainment,7351865,Good Deed Entertainment,0,Good Deed Entertainment,Good Deed Entertainment,Good Deed Entertainment,Good Deed Entertainment,Good Deed Entertainment
Shadow Distribution,7247924,Shadow Distribution,0,Shadow Distribution,Shadow Distribution,Shadow Distribution,Shadow Distribution,Shadow Distribution
Rainbow Releasing,6970802,Rainbow Releasing,0,Rainbow Releasing,Rainbow Releasing,Rainbow Releasing,Rainbow Releasing,Rainbow Releasing
After Dark Films,6957250,After Dark Films,0,After Dark Films,After Dark Films,After Dark Films,After Dark Films,After Dark Films
Slowhand Cinema Releasing,6921103,Slowhand Cinema Releasing,0,Slowhand Cinema Releasing,Slowhand Cinema Releasing,Slowhand Cinema Releasing,Slowhand Cinema Releasing,Slowhand Cinema Releasing
Chicago Pictures,6881022,Chicago Pictures,0,Chicago Pictures,Chicago Pictures,Chicago Pictures,Chicago Pictures,Chicago Pictures
Screen Media Films,6714057,Screen Media Films,0,Screen Media Films,Screen Media Films,Screen Media Films,Screen Media Films,Screen Media Films
Taurus Entertainment Company,6698842,Taurus Entertainment Company,0,Taurus Entertainment Company,Taurus Entertainment Company,Taurus Entertainment Company,Taurus Entertainment Company,Taurus Entertainment Company
Lot 47 Films,6604556,Lot 47 Films,0,Lot 47 Films,Lot 47 Films,Lot 47 Films,Lot 47 Films,Lot 47 Films
Eleven Arts,6512761,Eleven Arts,0,Eleven Arts,Eleven Arts,Eleven Arts,Eleven Arts,Eleven Arts
Triton Pictures,6502770,Triton Pictures,0,Triton Pictures,Triton Pictures,Triton Pictures,Triton Pictures,Triton Pictures
International Film Circuit,6318043,International Film Circuit,0,International Film Circuit,International Film Circuit,International Film Circuit,International Film Circuit,International Film Circuit
Regent Releasing,6222273,Regent Releasing,0,Regent Releasing,Regent Releasing,Regent Releasing,Regent Releasing,Regent Releasing
GathrFilms,6136028,GathrFilms,0,GathrFilms,GathrFilms,GathrFilms,GathrFilms,GathrFilms
101 Studios,5979540,101 Studios,0,101 Studios,101 Studios,101 Studios,101 Studios,101 Studios
The Film Arcade,5968182,The Film Arcade,0,The Film Arcade,The Film Arcade,The Film Arcade,The Film Arcade,The Film Arcade
Electric Entertainment,5933105,Electric Entertainment,0,Electric Entertainment,Electric Entertainment,Electric Entertainment,Electric Entertainment,Electric Entertainment
Vertical Entertainment,5734484,Vertical Entertainment,0,Vertical Entertainment,Vertical Entertainment,Vertical Entertainment,Vertical Entertainment,Vertical Entertainment
Menemsha Films,5655258,Menemsha Films,0,Menemsha Films,Menemsha Films,Menemsha Films,Menemsha Films,Menemsha Films
Televisa Cine,5643296,Televisa Cine,0,Televisa Cine,Televisa Cine,Televisa Cine,Televisa Cine,Televisa Cine
The Bigger Picture,5582594,The Bigger Picture,0,The Bigger Picture,The Bigger Picture,The Bigger Picture,The Bigger Picture,The Bigger Picture
Cinelou Films,5551922,Cinelou Films,0,Cinelou Films,Cinelou Films,Cinelou Films,Cinelou Films,Cinelou Films
The Cinema Guild,5531014,The Cinema Guild,0,The Cinema Guild,The Cinema Guild,The Cinema Guild,The Cinema Guild,The Cinema Guild
Vitagraph Films,5401766,Vitagraph Films,0,Vitagraph Films,Vitagraph Films,Vitagraph Films,Vitagraph Films,Vitagraph Films
Corsair Pictures,5269711,Corsair Pictures,0,Corsair Pictures,Corsair Pictures,Corsair Pictures,Corsair Pictures,Corsair Pictures
Gunpowder & Sky,5151315,Gunpowder & Sky,0,Gunpowder & Sky,Gunpowder & Sky,Gunpowder & Sky,Gunpowder & Sky,Gunpowder & Sky
Trans World Entertainment (TWE),5105311,Trans World Entertainment (TWE),0,Trans World Entertainment (TWE),Trans World Entertainment (TWE),Trans World Entertainment (TWE),Trans World Entertainment (TWE),Trans World Entertainment (TWE)
Five & Two Pictures,5010821,Five & Two Pictures,0,Five & Two Pictures,Five & Two Pictures,Five & Two Pictures,Five & Two Pictures,Five & Two Pictures
Alive Films,4956392,Alive Films,0,Alive Films,Alive Films,Alive Films,Alive Films,Alive Films
FilmRise,4491520,FilmRise,0,FilmRise,FilmRise,FilmRise,FilmRise,FilmRise
GVN Releasing,4401620,GVN Releasing,0,GVN Releasing,GVN Releasing,GVN Releasing,GVN Releasing,GVN Releasing
Visio Entertainment,4373074,Visio Entertainment,0,Visio Entertainment,Visio Entertainment,Visio Entertainment,Visio Entertainment,Visio Entertainment
Film Movement,4290840,Film Movement,0,Film Movement,Film Movement,Film Movement,Film Movement,Film Movement
Empire Pictures Inc.,4243867,Empire Pictures Inc.,0,Empire Pictures Inc.,Empire Pictures Inc.,Empire Pictures Inc.,Empire Pictures Inc.,Empire Pictures Inc.
Cloud Ten Pictures,4224065,Cloud Ten Pictures,0,Cloud Ten Pictures,Cloud Ten Pictures,Cloud Ten Pictures,Cloud Ten Pictures,Cloud Ten Pictures
Variance Films,4097769,Variance Films,0,Variance Films,Variance Films,Variance Films,Variance Films,Variance Films
