Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name
Leisure Time Features,131830,Leisure Time Features,0,Leisure Time Features
Pioneer,130243,Pioneer,0,Pioneer
Geneon Entertainment,129135,Geneon Entertainment,0,Geneon Entertainment
Embrem Entertainment,125867,Embrem Entertainment,0,Embrem Entertainment
Noujaim Films,124244,Noujaim Films,0,Noujaim Films
Worldplay,118206,Worldplay,0,Worldplay
Illuminare Entertainment,117480,Illuminare Entertainment,0,Illuminare Entertainment
4th Row Films,117470,4th Row Films,0,4th Row Films
MUBI,117460,MUBI,0,MUBI
Rogers & Cowan/PMK,116763,Rogers & Cowan/PMK,0,Rogers & Cowan/PMK
Wildcat Releasing,116669,Wildcat Releasing,0,Wildcat Releasing
ArtMattan Productions,115007,ArtMattan Productions,0,ArtMattan Productions
Xenon Pictures,111911,Xenon Pictures,0,Xenon Pictures
Saboteur Media,108726,Saboteur Media,0,Saboteur Media
Carlotta Films,108284,Carlotta Films,0,Carlotta Films
Corinth Films,108041,Corinth Films,0,Corinth Films
In the Family,106996,In the Family,0,In the Family
Spark Media,106774,Spark Media,0,Spark Media
Great Point Media,104163,Great Point Media,0,Great Point Media
Gabriel's Messenger Films,103739,Gabriel's Messenger Films,0,Gabriel's Messenger Films
ADV Films,103391,ADV Films,0,ADV Films
IndieVest Pictures,102645,IndieVest Pictures,0,IndieVest Pictures
Utopia,101564,Utopia,0,Utopia
Janson Media,100403,Janson Media,0,Janson Media
Tidepoint Pictures,99199,Tidepoint Pictures,0,Tidepoint Pictures
Monument Releasing,99033,Monument Releasing,0,Monument Releasing
Reel Source,94161,Reel Source,0,Reel Source
Bandai,94060,Bandai,0,Bandai
Citizens United,93000,Citizens United,0,Citizens United
United Entertainment Partners,92696,United Entertainment Partners,0,United Entertainment Partners
Full Moon Pictures,91260,Full Moon Pictures,0,Full Moon Pictures
Mangusta Productions,90384,Mangusta Productions,0,Mangusta Productions
Typecast Releasing,89673,Typecast Releasing,0,Typecast Releasing
Brainstorm Media,88809,Brainstorm Media,0,Brainstorm Media
